86,,,,,,,0,0,,,0,0,0.0
69,8,3,10,3,10,1,8,4,10,1,10,8,9.2
99,10,2,4,4,2,2,,,,,10,2,5.333333333333333
1,,,,,,,,,10,3,10,10,10.0
131,,,,,,,8,3,,,8,8,8.0
142,10,3,10,5,,,8,3,10,1,10,8,9.5
141,10,2,10,5,6,3,8,3,10,3,10,6,8.8
65,10,2,6,3,8,7,10,4,3,1,10,3,7.4
134,10,4,10,6,0,2,10,4,10,2,10,0,8.0
90,8,4,10,2,10,2,10,3,10,8,10,8,9.6
50,10,4,10,3,10,3,8,8,10,2,10,8,9.6
74,10,2,4,5,2,3,,,10,6,10,2,6.5
93,10,2,6,2,2,9,8,5,10,3,10,2,7.2
12,6,2,6,4,8,3,6,7,10,5,10,6,7.2
120,10,2,6,4,10,7,8,3,10,5,10,6,8.8
103,10,4,10,5,8,4,10,6,10,2,10,8,9.6
104,10,4,10,9,8,3,8,1,10,4,10,8,9.2
113,,,2,4,2,6,8,3,,,8,2,4.0
125,10,4,6,8,10,2,8,6,10,2,10,6,8.8
7,6,1,6,3,10,9,8,4,5,5,10,5,7.0
30,8,3,6,5,8,7,10,3,10,4,10,6,8.4
64,10,3,4,5,10,9,,,0,1,10,0,6.0
8,8,2,4,4,8,9,8,5,10,3,10,4,7.6
40,10,4,4,5,10,5,2,1,8,8,10,2,6.8
68,10,2,10,5,0,9,6,4,10,3,10,0,7.2
117,6,5,6,4,8,6,,,10,4,10,6,7.5
87,10,4,10,7,8,0,8,6,8,7,10,8,8.8
116,10,5,,,2,0,,,0,10,10,0,4.0
96,8,2,6,7,6,6,6,4,8,6,8,6,6.8
25,,,10,5,8,5,,,,,10,8,9.0
29,10,3,10,5,2,5,6,6,10,6,10,2,7.6
75,10,7,6,8,8,10,0,0,0,0,10,0,4.8
77,8,3,10,6,8,11,8,4,10,1,10,8,8.8
81,10,6,2,5,8,6,8,6,0,2,10,0,5.6
119,8,3,6,8,8,10,8,2,10,3,10,6,8.0
11,10,3,10,10,10,3,6,6,10,4,10,6,9.2
9,10,4,4,7,4,5,0,2,8,8,10,0,5.2
42,10,3,6,6,10,8,,,10,4,10,6,9.0
140,6,4,0,1,2,6,6,9,8,7,8,0,4.4
57,8,5,4,6,4,7,8,4,10,5,10,4,6.8
109,10,2,6,6,6,6,6,4,10,9,10,6,7.6
139,8,6,4,11,0,4,2,1,,,8,0,3.5
41,10,6,4,10,0,2,6,4,,,10,0,5.0
82,8,3,6,7,8,6,4,6,,,8,4,6.5
111,10,3,4,9,8,5,10,4,10,7,10,4,8.4
127,10,4,2,4,6,6,4,5,10,9,10,2,6.4
137,8,3,4,10,2,6,6,4,8,5,8,2,5.6
31,10,4,6,5,4,5,10,6,10,8,10,4,8.0
33,6,1,6,7,6,13,8,4,10,3,10,6,7.2
44,10,2,6,8,6,6,8,6,10,6,10,6,8.0
110,10,3,4,7,10,9,8,6,10,4,10,4,8.4
27,10,4,4,7,6,8,8,5,10,5,10,4,7.6
36,10,6,8,6,8,5,8,6,10,6,10,8,8.8
53,10,3,6,3,4,8,8,7,10,8,10,4,7.6
58,10,3,10,4,10,6,8,7,10,9,10,8,9.6
66,8,6,4,7,8,5,6,4,10,7,10,4,7.2
80,8,5,6,4,4,6,8,8,8,6,8,4,6.8
89,10,6,,,,,,,,,10,10,10.0
126,10,4,6,9,6,5,,,,,10,6,7.333333333333333
128,10,4,4,8,,,2,1,0,11,10,0,4.0
23,8,4,4,5,6,7,8,6,10,8,10,4,7.2
130,8,5,4,6,6,9,6,5,10,5,10,4,6.8
43,6,6,,,,,,,,,6,6,6.0
62,10,4,2,13,8,4,8,4,10,5,10,2,7.6
92,8,3,8,6,10,5,10,10,10,7,10,8,9.2
4,6,2,10,7,8,9,8,5,10,8,10,6,8.4
37,10,3,10,3,4,10,8,7,10,8,10,4,8.4
56,10,5,,,6,11,6,5,10,4,10,6,8.0
48,,,,,4,2,6,7,10,10,10,4,6.666666666666667
26,10,4,6,10,10,6,,,10,6,10,6,9.0
63,6,8,6,5,,,,,,,6,6,6.0
107,,,0,6,8,6,6,6,3,8,8,0,4.25
71,10,4,6,13,2,5,10,5,8,6,10,2,7.2
108,10,5,4,4,2,6,2,7,10,11,10,2,5.6
83,10,4,8,9,0,3,8,10,10,7,10,0,7.2
19,10,4,10,6,4,10,,,,,10,4,8.0
3,10,5,6,5,4,12,8,5,,,10,4,7.0
114,8,2,6,7,8,9,8,8,10,8,10,6,8.0
18,10,3,6,8,6,8,8,8,10,7,10,6,8.0
133,10,2,4,5,8,9,8,7,10,11,10,4,8.0
112,10,4,8,6,8,12,10,4,10,9,10,8,9.2
2,10,8,0,9,8,8,6,5,8,5,10,0,6.4
24,10,1,10,5,10,12,8,7,10,10,10,8,9.6
35,8,4,,,8,10,,,,,8,8,8.0
51,10,5,10,7,,,10,9,,,10,10,10.0
52,8,3,6,6,0,11,10,8,8,7,10,0,6.4
55,10,5,6,6,8,7,6,7,8,10,10,6,7.6
105,8,4,8,10,8,6,6,6,5,9,8,5,7.0
122,8,4,4,8,0,6,4,9,10,9,10,0,5.2
6,10,5,6,11,6,5,10,8,10,7,10,6,8.4
21,10,5,10,11,8,6,10,7,,,10,8,9.5
115,10,5,8,9,8,7,10,7,10,9,10,8,9.2
49,10,7,4,8,6,7,6,7,8,8,10,4,6.8
34,,,4,9,2,9,6,6,10,6,10,2,5.5
91,10,6,6,8,2,8,8,7,10,9,10,2,7.2
5,10,4,2,13,10,6,10,8,10,7,10,2,8.4
28,10,6,4,6,8,13,8,8,10,5,10,4,8.0
46,8,6,4,9,4,11,8,6,10,6,10,4,6.8
85,10,5,6,6,10,10,8,5,0,12,10,0,6.8
121,10,5,2,9,8,6,10,7,0,12,10,0,6.0
22,10,7,6,10,8,7,6,8,8,7,10,6,7.6
132,10,3,8,8,4,9,4,8,10,11,10,4,7.2
61,10,5,10,9,4,7,10,7,10,11,10,4,8.8
72,6,4,2,11,6,11,10,6,10,7,10,2,6.8
47,10,9,,,,,6,5,8,10,10,6,8.0
59,10,4,2,10,8,12,8,6,,,10,2,7.0
67,10,6,6,5,8,9,8,7,10,13,10,6,8.4
144,10,7,6,9,6,8,2,9,10,8,10,2,6.8
32,,,4,10,6,11,8,4,10,8,10,4,7.0
14,10,5,6,8,6,11,8,8,8,10,10,6,7.6
136,10,7,10,10,,,,,,,10,10,10.0
123,8,7,10,8,8,11,6,9,10,8,10,6,8.4
124,10,7,0,8,10,14,8,8,10,6,10,0,7.6
60,6,7,4,9,4,8,6,9,10,10,10,4,6.0
106,10,8,2,12,10,11,8,9,8,3,10,2,7.6
79,10,5,4,14,8,8,8,8,,,10,4,7.5
143,10,6,10,8,8,9,10,11,10,10,10,8,9.6
95,10,8,4,8,4,8,6,11,8,10,10,4,6.4
129,,,4,9,6,11,10,5,10,11,10,4,7.5
45,10,7,4,11,8,13,4,8,10,6,10,4,7.2
70,10,7,6,7,2,11,10,12,10,8,10,2,7.6
100,,,0,10,4,7,6,7,5,12,6,0,3.75
101,10,9,10,11,2,8,8,10,8,7,10,2,7.6
88,10,7,2,8,4,10,6,10,8,11,10,2,6.0
94,8,6,8,7,10,9,6,9,3,15,10,3,7.0
15,10,4,10,10,,,8,12,10,11,10,8,9.5
10,10,6,2,13,8,10,8,5,10,13,10,2,7.6
76,10,5,4,7,2,13,8,10,10,12,10,2,6.8
138,10,9,,,8,14,6,7,10,8,10,6,8.5
118,10,7,6,8,2,10,6,15,0,8,10,0,4.8
16,10,15,4,8,0,10,6,3,0,12,10,0,4.0
13,,,6,10,,,6,10,,,6,6,6.0
20,8,6,6,10,2,13,4,9,3,12,8,2,4.6
39,10,5,6,12,8,12,8,8,10,13,10,6,8.4
78,,,,,6,12,4,8,10,10,10,4,6.666666666666667
135,10,5,8,11,4,13,10,12,,,10,4,8.0
73,10,6,2,13,2,13,2,6,10,14,10,2,5.2
17,10,8,2,14,6,12,8,8,8,11,10,2,6.8
102,10,10,10,10,4,14,8,8,8,13,10,4,8.0
97,8,11,0,12,6,9,10,13,5,12,10,0,5.8
84,,,6,14,,,,,,,6,6,6.0
,10,10,10,10,10
,6,0,0,0,0
,9.275591,5.829457,6.047244,7.177419,8.474576
