88,10,2,4,6,8,10,2,6.0
89,10,,,,,10,10,10.0
110,10,4,10,8,10,10,4,8.4
111,10,4,8,10,10,10,4,8.4
112,10,8,8,10,10,10,8,9.2
113,,2,2,8,,8,2,4.0
114,8,6,8,8,10,10,6,8.0
115,10,8,8,10,10,10,8,9.2
116,10,,2,,0,10,0,4.0
90,8,10,10,10,10,10,8,9.6
117,6,6,8,,10,10,6,7.5
91,10,6,2,8,10,10,2,7.2
118,10,6,2,6,0,10,0,4.8
119,8,6,8,8,10,10,6,8.0
92,8,8,10,10,10,10,8,9.2
93,10,6,2,8,10,10,2,7.2
94,8,8,10,6,3,10,3,7.0
95,10,4,4,6,8,10,4,6.4
96,8,6,6,6,8,8,6,6.8
97,8,0,6,10,5,10,0,5.8
10,10,2,8,8,10,10,2,7.6
99,10,4,2,,,10,2,5.333333333333333
11,10,10,10,6,10,10,6,9.2
12,6,6,8,6,10,10,6,7.2
13,,6,,6,,6,6,6.0
14,10,6,6,8,8,10,6,7.6
15,10,10,,8,10,10,8,9.5
16,10,4,0,6,0,10,0,4.0
17,10,2,6,8,8,10,2,6.8
18,10,6,6,8,10,10,6,8.0
19,10,10,4,,,10,4,8.0
120,10,6,10,8,10,10,6,8.8
121,10,2,8,10,0,10,0,6.0
122,8,4,0,4,10,10,0,5.2
1,,,,,10,10,10,5.0
123,8,10,8,6,10,10,6,8.4
2,10,0,8,6,8,10,0,6.4
3,10,6,4,8,,10,4,7.0
124,10,0,10,8,10,10,0,7.6
4,6,10,8,8,10,10,6,8.4
125,10,6,10,8,10,10,6,8.8
126,10,6,6,,,10,6,7.333333333333333
5,10,2,10,10,10,10,2,8.4
6,10,6,6,10,10,10,6,8.4
127,10,2,6,4,10,10,2,6.4
7,6,6,10,8,5,10,5,7.0
128,10,4,,2,0,10,0,4.0
8,8,4,8,8,10,10,4,7.6
129,,4,6,10,10,10,4,7.5
9,10,4,4,0,8,10,0,5.2
20,8,6,2,4,3,8,2,4.6
21,10,10,8,10,,10,8,9.5
22,10,6,8,6,8,10,6,7.6
23,8,4,6,8,10,10,4,7.2
24,10,10,10,8,10,10,8,9.6
25,,10,8,,,10,8,9.0
26,10,6,10,,10,10,6,9.0
27,10,4,6,8,10,10,4,7.6
28,10,4,8,8,10,10,4,8.0
29,10,10,2,6,10,10,2,7.6
130,8,4,6,6,10,10,4,6.8
131,,,,8,,8,8,8.0
132,10,8,4,4,10,10,4,7.2
133,10,4,8,8,10,10,4,8.0
134,10,10,0,10,10,10,0,8.0
135,10,8,4,10,,10,4,8.0
136,10,10,,,,10,10,10.0
137,8,4,2,6,8,8,2,5.6
138,10,,8,6,10,10,6,8.5
139,8,4,0,2,,8,0,3.5
30,8,6,8,10,10,10,6,8.4
31,10,6,4,10,10,10,4,8.0
32,,4,6,8,10,10,4,5.6
33,6,6,6,8,10,10,6,7.2
34,,4,2,6,10,10,2,5.5
35,8,,8,,,8,8,8.0
36,10,8,8,8,10,10,8,8.8
37,10,10,4,8,10,10,4,8.4
39,10,6,8,8,10,10,6,8.4
140,6,0,2,6,8,8,0,4.4
141,10,10,6,8,10,10,6,8.8
142,10,10,,8,10,10,8,9.5
143,10,10,8,10,10,10,8,9.6
144,10,6,6,2,10,10,2,6.8
40,10,4,10,2,8,10,2,6.8
41,10,4,0,6,,10,0,5.0
42,10,6,10,,10,10,6,9.0
43,6,,,,,6,6,6.0
44,10,6,6,8,10,10,6,8.0
45,10,4,8,4,10,10,4,7.2
46,8,4,4,8,10,10,4,6.8
47,10,,,6,8,10,6,8.0
48,,,4,6,10,10,4,4.0
49,10,4,6,6,8,10,4,6.8
50,10,10,10,8,10,10,8,9.6
51,10,10,,10,,10,10,10.0
52,8,6,0,10,8,10,0,6.4
53,10,6,4,8,10,10,4,7.6
55,10,6,8,6,8,10,6,7.6
56,10,,6,6,10,10,6,8.0
57,8,4,4,8,10,10,4,6.8
58,10,10,10,8,10,10,8,9.6
59,10,2,8,8,,10,2,7.0
60,6,4,4,6,10,10,4,6.0
61,10,10,4,10,10,10,4,8.8
62,10,2,8,8,10,10,2,7.6
63,6,6,,,,6,6,6.0
64,10,4,10,,0,10,0,6.0
65,10,6,8,10,3,10,3,7.4
66,8,4,8,6,10,10,4,7.2
67,10,6,8,8,10,10,6,8.4
68,10,10,0,6,10,10,0,7.2
69,8,10,10,8,10,10,8,9.2
70,10,6,2,10,10,10,2,7.6
71,10,6,2,10,8,10,2,7.2
72,6,2,6,10,10,10,2,6.8
73,10,2,2,2,10,10,2,5.2
74,10,4,2,,10,10,2,6.5
75,10,6,8,0,0,10,0,4.8
76,10,4,2,8,10,10,2,6.8
77,8,10,8,8,10,10,8,8.8
78,,,6,4,10,10,4,6.666666666666667
79,10,4,8,8,,10,4,7.5
100,,0,4,6,5,6,0,3.75
101,10,10,2,8,8,10,2,7.6
102,10,10,4,8,8,10,4,8.0
103,10,10,8,10,10,10,8,9.6
104,10,10,8,8,10,10,8,9.2
105,8,8,8,6,5,8,5,7.0
106,10,2,10,8,8,10,2,7.6
80,8,6,4,8,8,8,4,6.8
107,,0,8,6,3,8,0,4.25
81,10,2,8,8,0,10,0,5.6
108,10,4,2,2,10,10,2,5.6
109,10,6,6,6,10,10,6,7.6
82,8,6,8,4,,8,4,6.5
83,10,8,0,8,10,10,0,7.2
84,,6,,,,6,6,3.0
85,10,6,10,8,0,10,0,6.8
86,,,,0,,0,0,0.0
87,10,10,8,8,8,10,8,8.8
,10,10,10,10,10
,6,0,0,0,0
,9.275591,5.829457,6.047244,7.177419,8.474576

